rgiid,name,sigma_max,tolerance_cm,n_points,point_spacing,actual_n_points,area_km2
01.22193,kahiltna,658.2,3.0,672,2049.8,660,479.521
01.15645,kennicott,630.1,3.0,616,1322.0,626,292.531
01.00570,gulkana,411.3,3.0,263,440.8,274,17.567
01.09162,wolverine,385.6,3.0,231,408.4,238,16.749
01.01104,lemon_creek,282.3,3.0,124,472.8,118,9.528
