wf,loss_mwe,grad_mwe,sweep
0.98,131.7844030465672,-11.758652081024726,coarse
0.9828571428571429,136.2590537925766,-12.118493911600469,coarse
0.9857142857142857,136.25128779680543,-12.972017005467716,coarse
0.9885714285714285,131.74462137946023,-12.85782529130956,coarse
0.9914285714285714,131.71393945855152,-12.962677590473774,coarse
0.9942857142857143,136.2108115302373,-12.71076609705997,coarse
0.9971428571428571,136.22392369025923,-12.987145450436346,coarse
1.0,136.19532925229865,-13.389604089329818,coarse
1.002857142857143,131.69570018064687,-14.033313342468542,coarse
1.0057142857142858,131.67214238138902,-13.886252978770596,coarse
1.0085714285714287,131.64978470433851,-13.633611258484706,coarse
1.0114285714285713,131.67222742271045,-14.728958947456821,coarse
1.0142857142857142,136.1596681869501,-13.736006010469428,coarse
1.0171428571428571,136.14321756425733,-14.273924354638321,coarse
1.02,131.62958362594694,-15.438819586589451,coarse
