wf,loss_mwe,grad_mwe,sweep
3.43,128.5337283416192,29.408238915860853,coarse
3.44,127.74981338430538,-255.43238810854615,coarse
3.45,128.41860698536624,0.960803981628506,coarse
3.46,128.31453763015134,4.371817247848086,coarse
3.47,128.28301076100988,3077485498908261.5,coarse
3.48,128.142605695135,31.201107949422386,coarse
3.49,127.94042068120233,-27.118854671402598,coarse
3.5,131.5057480988856,-4.153502243747733,coarse
3.51,127.73444012546479,5.810142701664792e+19,coarse
3.52,131.33056670228228,-1485.8998513111208,coarse
3.53,131.22824859983928,1.6767252832475235,coarse
3.54,127.43015494106315,-293.09869082269535,coarse
3.55,127.2419484267863,26528685.13719725,coarse
3.56,130.8672599277794,1.040611054060183,coarse
3.57,127.06987805471445,35.24269571007804,coarse
