wf,loss_mae,grad_mae,sweep
0.98,1.252204944739335,-414919198496.8188,coarse
0.9813793103448276,1.2542946046572687,6544.931177289039,coarse
0.9827586206896551,1.2371303190094527,-2139304.7220083163,coarse
0.9841379310344828,1.2399951782989125,-490410.52815507527,coarse
0.9855172413793103,1.2425639658469676,-3.697169342842217e+38,coarse
0.9868965517241379,1.2388010979600392,5153.347335472041,coarse
0.9882758620689656,1.2344051535709615,-118113452.2003755,coarse
0.9896551724137931,1.2324233483980442,3199041530.9626317,coarse
0.9910344827586207,1.2330310157237678,-576992232.2012138,coarse
0.9924137931034482,1.2376012925150441,-1166480862.8475654,coarse
0.9937931034482759,1.2323362929428932,-15596.33521215446,coarse
0.9951724137931034,1.2226914166128964,480.9613019638673,coarse
0.996551724137931,1.2175582346262974,8649.734345011364,coarse
0.9979310344827587,1.216975549946039,5.649990573744929e+38,coarse
0.9993103448275862,1.2238806550019188,-3.76303084646801e+18,coarse
1.0006896551724138,1.2076871047117068,-2.065808252521394e+17,coarse
1.0020689655172415,1.219704983530189,-3092948.046762597,coarse
1.0034482758620689,1.2105987694698577,5.392460873355623e+24,coarse
1.0048275862068965,1.2142237039600883,-509.3027484906006,coarse
1.0062068965517241,1.2157512922611768,-1.4330903434019601e+23,coarse
1.0075862068965518,1.2150990610104382,-1.9401064582919475e+19,coarse
1.0089655172413794,1.2130642869199106,-1.3281814410142256e+20,coarse
1.0103448275862068,1.2162581871719536,-1.4603869727387576e+18,coarse
1.0117241379310344,1.201230163930062,2.110087828340074e+37,coarse
1.013103448275862,1.209346731630789,-253623078032.2896,coarse
1.0144827586206897,1.195428833161299,-1.6216473536559993e+35,coarse
1.0158620689655173,1.1998233981597275,-3651841854.7667665,coarse
1.0172413793103448,1.1970808847291805,7.054704337652812e+36,coarse
1.0186206896551724,1.1982637282634616,1802911601.1651073,coarse
1.02,1.1940771574483138,8.030422100291446e+35,coarse
