wf,loss_mwe,grad_mwe,sweep
0.98,141.0426903456171,-17.651865649102724,coarse
0.9828571428571429,140.99446964330374,-18.534236793242354,coarse
0.9857142857142857,140.9516851672161,-17.532685625659063,coarse
0.9885714285714285,140.92984730994084,-18.4328022517041,coarse
0.9914285714285714,140.85332772943727,-18.69771722121989,coarse
0.9942857142857143,140.9109858770343,-18.2706826933833,coarse
0.9971428571428571,140.87695098755322,-17.860009791174733,coarse
1.0,145.40209835279313,-18.689679112241723,coarse
1.002857142857143,145.3841108379627,-17.89635331559024,coarse
1.0057142857142858,140.7863107351986,-18.97674727793631,coarse
1.0085714285714287,140.78867856722738,-19.15593627842518,coarse
1.0114285714285713,140.7405527227811,-20.22210451079882,coarse
1.0142857142857142,145.20786713744303,-20.594943672105433,coarse
1.0171428571428571,145.23215530249763,-19.476870163935658,coarse
1.02,145.17856347542812,-21.597316847674126,coarse
