wf,loss_mwe,grad_mwe,sweep
0.98,152.17809430955077,-3445063.8317607283,coarse
0.9816666666666667,152.221900980286,1.2315814116729538e+72,coarse
0.9833333333333333,152.11982375552117,-185295339823306.2,coarse
0.985,151.9906938460195,3.895899885734293e+17,coarse
0.9866666666666667,151.9892240002083,-433039833963.1975,coarse
0.9883333333333333,151.9869221001207,21937450.86037495,coarse
0.99,151.96331928669122,-60037.512517339215,coarse
0.9916666666666667,151.9595983127936,-1.6956679041178779e+28,coarse
0.9933333333333333,151.91442162686107,13720629298.578608,coarse
0.995,151.8130300324209,-2.394304852699864e+22,coarse
0.9966666666666667,151.7611053272795,-1.4564001953388149e+20,coarse
0.998,151.76073458418048,6806367411.153888,fine
0.9980506329113924,151.76088135510068,-5737575109533150.0,fine
0.9981012658227848,151.76178215927644,105078596781.60445,fine
0.9981518987341772,151.78860099126808,5065659.486409243,fine
0.9982025316455696,151.75312015754028,-6343135.85415372,fine
0.998253164556962,151.7535129587204,-158762358.3599004,fine
0.9983037974683544,151.7526155027681,2462936.2159387437,fine
0.9983333333333333,151.7536160747293,-7422.341103142408,coarse
0.9983544303797468,151.76210713751695,9132057.098505124,fine
0.9984050632911392,151.7532641078211,520.5048922636436,fine
0.9984556962025316,151.75345350364194,1175.8281187879843,fine
0.998506329113924,151.76060717605495,300205559.6814891,fine
0.9985569620253164,151.75327546150245,-24460.64694971375,fine
0.9986075949367088,151.75250837019786,-616.1244128949576,fine
0.9986582278481012,151.75346869698848,-11992.419286376626,fine
0.9987088607594937,151.7474296311364,3864.531809392453,fine
0.9987594936708861,151.760961023614,22328197.362869963,fine
0.9988101265822785,151.75076799327687,-43.26698065770165,fine
0.9988607594936709,151.7522951061792,34.81099751161094,fine
0.9989113924050633,151.75250048042219,3021.6505856925783,fine
0.9989620253164557,151.75083793601527,-9258.270313041054,fine
0.9990126582278481,151.75087895229467,14179.779437926089,fine
0.9990632911392405,151.7503043290392,14201.17927472409,fine
0.9991139240506329,151.7475178798312,18506.326648975446,fine
0.9991645569620253,151.74351435888215,14316.75242340466,fine
0.9992151898734177,151.7271333062221,-300071526.09662855,fine
0.9992658227848101,151.72834179057327,1042953860366.0078,fine
0.9993164556962025,151.72854732961827,-14972682.104726087,fine
0.9993670886075949,151.75125770784146,-8813.200566020585,fine
0.9994177215189873,151.74839115772872,367.23873291239283,fine
0.9994683544303797,151.7481928521468,-465.50347572449755,fine
0.9995189873417721,151.7425429612518,-13356792.931899415,fine
0.9995696202531645,151.74117130330913,-13130933411.770203,fine
0.9996202531645569,151.74043560827397,72484847909.05223,fine
0.9996708860759493,151.74028863147183,73306977458.19067,fine
0.9997215189873417,151.74040922535065,154544779102.22922,fine
0.9997721518987341,151.73972685231396,3727989.9955943613,fine
0.9998227848101265,151.72730983918655,-17380.11385080354,fine
0.9998734177215189,151.72548237798392,-4237361.754834387,fine
0.9999240506329113,151.73751685566037,577066.8803341937,fine
0.9999746835443037,151.72688377265854,-7338.777767190531,fine
