glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
wolverine,16.749,2.5,6000.0,4,5.106893351805783,4.007290367451182,0.7234689164390291
wolverine,16.749,2.5,5000.0,7,4.672772780014899,4.2060360601776585,0.2893483446481451
wolverine,16.749,2.5,4000.0,9,4.366339308240961,2.5766117231613683,-0.017085127125793242
wolverine,16.749,2.5,3000.0,11,4.27041430295619,2.5672310215394445,-0.11301013241056435
wolverine,16.749,2.5,1200.0,45,4.437877820117175,3.5618562704210723,0.054453384750421385
wolverine,16.749,2.5,500.0,166,4.383424435366754,5.278283720455147,0.0
wolverine,16.749,2.5,200.0,1070,4.33300251967869,3.8627127458190835,-0.05042191568806409
