glacier,area_km2,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
gulkana,17.567,5,9,-4.2404624524748415,-4.439331763829813,1.3475361845925855
gulkana,17.567,10,10,-5.150316512618726,-4.1447613303711455,0.4376821244487008
gulkana,17.567,20,21,-5.120366771245829,-4.965036193104958,0.4676318658215983
gulkana,17.567,35,34,-5.841692931035804,-5.567644086179054,-0.25369429396837706
gulkana,17.567,50,52,-5.301063901790596,-4.979820000617794,0.286934735276831
gulkana,17.567,75,73,-5.270220324364516,-4.956044488207279,0.31777831270291124
gulkana,17.567,100,102,-5.4486834862157565,-5.252915356723042,0.13931515085167057
gulkana,17.567,150,152,-5.3868219511751,-4.997833450243666,0.20117668589232718
gulkana,17.567,175,174,-5.512441280111644,-5.3591476002000835,0.07555735695578303
gulkana,17.567,200,200,-5.639463024000539,-5.531462261734264,-0.051464386933111506
gulkana,17.567,225,223,-5.514361351447645,-5.483759242597423,0.07363728561978178
gulkana,17.567,250,250,-5.4716988503923165,-5.363302540155084,0.11629978667511054
gulkana,17.567,275,279,-5.437524101557473,-5.236964128627934,0.1504745355099537
gulkana,17.567,300,297,-5.587998637067427,-5.3822367199427195,0.0
