glacier,area_km2,wind_factor,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
wolverine,16.749,3.0,5,5,2.374036812462099,0.9698698191879837,0.22762498652277552
wolverine,16.749,3.0,10,10,3.791508948357232,4.786873128385855,1.6450971224179085
wolverine,16.749,3.0,20,20,2.3223720087928656,2.555640416266385,0.17596018285354198
wolverine,16.749,3.0,35,36,2.110720779597176,2.6872229680466555,-0.035691046342147814
wolverine,16.749,3.0,50,49,2.0306680090052884,2.211854163138281,-0.11574381693403524
wolverine,16.749,3.0,75,77,2.226846521334344,2.286459313424869,0.08043469539502013
wolverine,16.749,3.0,100,96,2.168070482549341,2.1787535295303875,0.021658656610017424
wolverine,16.749,3.0,150,151,2.250558771744007,2.7913517412623396,0.10414694580468353
wolverine,16.749,3.0,200,201,2.176836736394944,2.1982936466527736,0.030424910455620235
wolverine,16.749,3.0,300,304,2.1586299062330294,2.064551391128743,0.012218080293705746
wolverine,16.749,3.0,400,394,2.150121258560349,2.1183992065932356,0.0037094326210254103
wolverine,16.749,3.0,450,450,2.1851671279245086,2.137128068791706,0.03875530198518495
wolverine,16.749,3.0,500,502,2.1392901551570525,2.1967042854639276,-0.007121670782271217
wolverine,16.749,3.0,550,548,2.1141949248250147,2.2291938420369446,-0.03221690111430897
wolverine,16.749,3.0,600,597,2.1203756839826657,2.117366991758624,-0.026036141956657932
wolverine,16.749,3.0,670,671,2.1319667413153525,2.1287974684590996,-0.014445084623971205
wolverine,16.749,3.0,700,698,2.153633663940234,2.0649681777449436,0.007221838000910363
wolverine,16.749,3.0,750,747,2.2219490636732027,2.2313036687439456,0.07553723773387899
wolverine,16.749,3.0,800,798,2.1713848869800865,2.2001015228474703,0.0249730610407628
wolverine,16.749,3.0,850,845,2.105732030743209,2.167098019773188,-0.04067979519611464
wolverine,16.749,3.0,900,896,2.162523120833878,2.241756414955323,0.01611129489455454
wolverine,16.749,3.0,950,944,2.1212353562653994,2.130684748389609,-0.025176469673924284
wolverine,16.749,3.0,1000,997,2.1464118259393237,2.147803112022995,0.0
