glacier,area_km2,wind_factor,kp,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,5.0,2.5,2000.0,48,-13.90105844728762,-12.43338979582782,-0.22829706800854765
gulkana,17.567,5.0,2.5,900.0,96,-13.769190006413062,-10.853855581944705,-0.09642862713399047
gulkana,17.567,5.0,2.5,500.0,217,-13.603550386008287,-10.967829232308981,0.06921099327078473
gulkana,17.567,5.0,2.5,275.0,605,-13.672761379279072,-11.671952453702577,0.0
gulkana,17.567,5.0,2.5,150.0,1764,-13.661529043086428,-13.137478752297971,0.011232336192643189
