glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
gulkana,17.567,1.0,2000.0,48,2.1623185687153046,2.6149824826424015,0.01987108282533656
gulkana,17.567,1.0,900.0,96,2.1634907623549724,2.9658338219613753,0.021043276465004368
gulkana,17.567,1.0,500.0,217,2.142447485889968,2.7848457009444516,0.0
gulkana,17.567,1.0,275.0,605,2.1335405605236266,2.546929547229906,-0.008906925366341412
gulkana,17.567,1.0,150.0,1764,2.131475094645203,2.2429838611592263,-0.010972391244765234
