glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
kahiltna,479.521,2.5,7000.0,140,-0.8758696296598969,4.134183476129887,0.0844325422312799
kahiltna,479.521,2.5,5000.0,224,-1.052756302537277,3.218309827938401,-0.0924541306461002
kahiltna,479.521,2.5,4000.0,310,-0.8782728819292258,3.74842908398844,0.082029289961951
kahiltna,479.521,2.5,3000.0,405,-1.0335749570038268,4.86062695201387,-0.07327278511265
kahiltna,479.521,2.5,1500.0,981,-0.9603021718911768,4.19875985400568,0.0
kahiltna,479.521,2.5,1000.0,1763,-0.9500314942943494,3.403459110266164,0.0
kahiltna,479.521,2.5,750.0,2590,-0.9578249715362503,2.2731255414114817,0.0024772003549264
kahiltna,479.521,2.5,375.0,8447,-0.966950525799599,0.3764205613183821,-0.0066483539084221
kahiltna,479.521,2.5,200.0,27358,-0.9695695069122956,-0.7744176392567891,0.0
