glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
kennicott,292.531,2.5,3000.0,206,2.3605021095946928,6.478470312823236,0.028151158550166144
kennicott,292.531,2.5,2000.0,337,2.3476808491639707,6.495758629605157,0.015329898119444074
kennicott,292.531,2.5,1500.0,518,2.3401290630859606,6.2138787497208465,0.007778112041433971
kennicott,292.531,2.5,1100.0,815,2.335738092200901,5.526678920053789,0.003387141156374174
kennicott,292.531,2.5,850.0,1199,2.328963809888153,4.435800248365077,-0.0033871411563737297
kennicott,292.531,2.5,650.0,1920,2.323808573351757,4.172655826120981,-0.008542377692769776
kennicott,292.531,2.5,500.0,3066,2.324647975927261,3.815399660227089,-0.007702975117265698
kennicott,292.531,2.5,375.0,5147,2.3220178635442648,3.224407288434207,-0.01033308750026185
