glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
lemon_creek,9.528,2.5,5000.0,3,2.699119478882264,2.5040997643093017,0.5082233956803783
lemon_creek,9.528,2.5,4000.0,3,2.70822345204958,3.37616257402601,0.5173273688476936
lemon_creek,9.528,2.5,6000.0,3,2.71030470644845,2.497531281742718,0.519408623246564
lemon_creek,9.528,2.5,3000.0,5,2.2354838196248457,1.632495731495013,0.0445877364229598
lemon_creek,9.528,2.5,1200.0,33,2.1317335003505096,2.4307119151500167,-0.0591625828513762
lemon_creek,9.528,2.5,1000.0,38,2.078873843135472,2.13608680180584,0.0
lemon_creek,9.528,2.5,500.0,114,2.1163738018951403,2.218068622068736,-0.0745222813067454
lemon_creek,9.528,2.5,200.0,598,2.1339367944551704,2.322838188519695,-0.0569592887467154
lemon_creek,9.528,2.5,80.0,3423,2.146308346778926,2.1717980809088697,-0.0445877364229598
