glacier,area_km2,wind_factor,point_spacing,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_median
kennicott,292.531,2.5,2000.0,337,2.344568337368238,6.4952831023559385,0.013832848508421591
kennicott,292.531,2.5,1600.0,473,2.3462524930476354,6.026485615391509,0.015517004187818983
kennicott,292.531,2.5,1200.0,707,2.332378780820396,5.589913969200199,0.0016432919605797736
kennicott,292.531,2.5,1000.0,913,2.3371972904410265,4.8919440741859965,0.006461801581210125
kennicott,292.531,2.5,800.0,1366,2.329092196899237,4.468642267356451,-0.0016432919605793295
kennicott,292.531,2.5,600.0,2256,2.3228404538517453,4.288397841505518,-0.007895035008071094
kennicott,292.531,2.5,450.0,3681,2.3220641505752058,3.473318038461224,-0.008671338284610641
kennicott,292.531,2.5,250.0,10970,2.316826999118643,2.725480197842796,-0.013908489741173202
