glacier,area_km2,wind_factor,requested_n_points,actual_n_points,mass_balance,mass_balance_unweighted,mb_diff_from_densest
kahiltna,479.521,3.0,5,5,2.4436520143194116,5.391045422645417,2.4604122952577425
kahiltna,479.521,3.0,10,10,-0.017410976652988186,1.510771651312956,-0.0006506957146572567
kahiltna,479.521,3.0,20,19,0.1064516304707952,0.22201923792623898,0.12321191140912613
kahiltna,479.521,3.0,35,34,0.7903164917177208,1.4068871379602959,0.8070767726560517
kahiltna,479.521,3.0,50,50,0.022166062021343025,0.785849156781349,0.038926342959673954
kahiltna,479.521,3.0,75,78,-0.5585356148276152,-0.3043030024673463,-0.5417753338892842
kahiltna,479.521,3.0,100,105,-0.16772489487956016,1.1675491400112017,-0.15096461394122923
kahiltna,479.521,3.0,150,145,0.09628193080193981,0.1851010829543619,0.11304221174027074
kahiltna,479.521,3.0,200,202,-0.11425682241707769,0.4836739981238344,-0.09749654147874676
kahiltna,479.521,3.0,300,289,0.021777028580621582,-0.22783820255113243,0.03853730951895251
kahiltna,479.521,3.0,400,388,-0.05166936399802147,-0.12583619245802044,-0.03490908305969054
kahiltna,479.521,3.0,450,439,-0.19471946507430982,-0.09075438892362613,-0.1779591841359789
kahiltna,479.521,3.0,500,499,0.03153042513126447,0.003110293806423146,0.0482907060695954
kahiltna,479.521,3.0,550,560,-0.07801824621071685,0.06695353921537454,-0.06125796527238592
kahiltna,479.521,3.0,600,589,-0.035681452847117434,-0.11440069914713878,-0.018921171908786505
kahiltna,479.521,3.0,670,677,-0.012640420106750483,0.06536766986642288,0.004119860831580446
kahiltna,479.521,3.0,700,720,-0.11973096562184793,0.19442288075410186,-0.102970684683517
kahiltna,479.521,3.0,750,743,-0.047515127428011894,-0.022133287474401603,-0.030754846489680965
kahiltna,479.521,3.0,800,799,0.042917738610549705,0.23360113381610456,0.059678019548880634
kahiltna,479.521,3.0,850,854,0.05039865484673456,0.15791563869945213,0.06715893578506549
kahiltna,479.521,3.0,900,894,-0.010299284290561594,0.028343176842746662,0.006460996647769335
kahiltna,479.521,3.0,950,946,0.005405731517401868,0.10771301381490445,0.022166012455732798
kahiltna,479.521,3.0,1000,1001,-0.01676028093833093,0.04196210867405977,0.0
