rgiid,site,lat,lon,elevation,slope,aspect
01.00570,pt000000,63.250935344825905,-145.44815491988132,1163.346435546875,2.029590368270874,145.22044372558594
01.00570,pt000001,63.250935344825905,-145.44713180105546,1163.6270751953125,2.6815507411956787,190.6334991455078
01.00570,pt000002,63.250935344825905,-145.4461086822296,1165.5087890625,3.2428641319274902,227.42813110351562
01.00570,pt000003,63.250935344825905,-145.44508556340375,1166.9027099609375,2.5874998569488525,229.4696502685547
01.00570,pt000004,63.250935344825905,-145.4440624445779,1169.0245361328125,3.242647409439087,246.95384216308594
01.00570,pt000005,63.250935344825905,-145.44303932575204,1172.6461181640625,4.589106559753418,279.2732849121094
01.00570,pt000006,63.250935344825905,-145.44201620692618,1175.601806640625,5.196617603302002,289.5096130371094
01.00570,pt000007,63.250935344825905,-145.44099308810033,1179.0692138671875,4.820173263549805,328.36480712890625
01.00570,pt000008,63.250935344825905,-145.43996996927447,1185.9984130859375,7.586174488067627,287.7247009277344
01.00570,pt000009,63.250935344825905,-145.43894685044862,1189.583251953125,6.210601806640625,296.8119201660156
01.00570,pt000010,63.25195846365176,-145.44917803870717,1171.060546875,5.287884712219238,191.8554229736328
01.00570,pt000011,63.25195846365176,-145.44815491988132,1174.98876953125,7.7237982749938965,220.50267028808594
01.00570,pt000012,63.25195846365176,-145.44713180105546,1177.9063720703125,7.860899448394775,216.23475646972656
01.00570,pt000013,63.25195846365176,-145.4461086822296,1180.5091552734375,10.981837272644043,185.4671630859375
01.00570,pt000014,63.25195846365176,-145.44508556340375,1182.0338134765625,12.402225494384766,185.2487030029297
01.00570,pt000015,63.25195846365176,-145.4440624445779,1183.0745849609375,11.034523963928223,187.29074096679688
01.00570,pt000016,63.25195846365176,-145.44303932575204,1184.1566162109375,9.053346633911133,189.6359100341797
01.00570,pt000017,63.25195846365176,-145.44201620692618,1185.042724609375,8.766501426696777,186.66397094726562
01.00570,pt000018,63.25195846365176,-145.44099308810033,1186.0335693359375,7.3152875900268555,192.43568420410156
01.00570,pt000019,63.25195846365176,-145.43996996927447,1187.7059326171875,6.225708484649658,195.96011352539062
01.00570,pt000020,63.25195846365176,-145.43894685044862,1188.6859130859375,5.5213704109191895,197.50157165527344
01.00570,pt000021,63.25195846365176,-145.43792373162276,1189.98681640625,4.197114944458008,191.89703369140625
01.00570,pt000022,63.25195846365176,-145.4369006127969,1191.109375,4.050765514373779,266.1899719238281
01.00570,pt000023,63.25195846365176,-145.43587749397105,1193.370849609375,4.282448768615723,322.8756408691406
01.00570,pt000024,63.25195846365176,-145.4348543751452,1195.6256103515625,5.685626983642578,325.9682922363281
01.00570,pt000025,63.25195846365176,-145.43383125631934,1199.4412841796875,16.96782112121582,305.9526062011719
01.00570,pt000026,63.25298158247762,-145.45020115753303,1179.7022705078125,7.168684005737305,196.81332397460938
01.00570,pt000027,63.25298158247762,-145.44917803870717,1180.7083740234375,7.222957134246826,178.13172912597656
01.00570,pt000028,63.25298158247762,-145.44815491988132,1182.329833984375,8.088921546936035,242.0873565673828
01.00570,pt000029,63.25298158247762,-145.44713180105546,1187.240234375,9.320993423461914,225.2551727294922
01.00570,pt000030,63.25298158247762,-145.4461086822296,1194.564208984375,12.697924613952637,229.26414489746094
01.00570,pt000031,63.25298158247762,-145.44508556340375,1200.0311279296875,10.17308235168457,196.87884521484375
01.00570,pt000032,63.25298158247762,-145.4440624445779,1201.0941162109375,9.679081916809082,170.0054473876953
01.00570,pt000033,63.25298158247762,-145.44303932575204,1199.3109130859375,11.155495643615723,169.5244903564453
01.00570,pt000034,63.25298158247762,-145.44201620692618,1197.8760986328125,9.899046897888184,174.44447326660156
01.00570,pt000035,63.25298158247762,-145.44099308810033,1198.1165771484375,7.597654342651367,184.8639678955078
01.00570,pt000036,63.25298158247762,-145.43996996927447,1197.9970703125,7.115860462188721,183.42657470703125
01.00570,pt000037,63.25298158247762,-145.43894685044862,1198.781005859375,6.456358909606934,196.06146240234375
01.00570,pt000038,63.25298158247762,-145.43792373162276,1200.070068359375,7.679180145263672,182.00238037109375
01.00570,pt000039,63.25298158247762,-145.4369006127969,1199.6864013671875,6.355923652648926,183.16477966308594
01.00570,pt000040,63.25298158247762,-145.43587749397105,1200.021728515625,6.723466396331787,179.42208862304688
01.00570,pt000041,63.25298158247762,-145.4348543751452,1199.965087890625,7.032495021820068,189.13800048828125
01.00570,pt000042,63.25298158247762,-145.43383125631934,1201.0142822265625,9.967745780944824,228.60899353027344
01.00570,pt000043,63.25298158247762,-145.43280813749348,1211.2489013671875,9.797788619995117,217.2412109375
01.00570,pt000044,63.25298158247762,-145.43178501866763,1217.076171875,12.098318099975586,267.6671142578125
01.00570,pt000045,63.25298158247762,-145.43076189984177,1230.6728515625,19.574377059936523,307.770751953125
01.00570,pt000046,63.25298158247762,-145.4297387810159,1249.77099609375,25.02686882019043,315.0853271484375
01.00570,pt000047,63.25298158247762,-145.42871566219006,1259.80859375,22.509201049804688,333.6487121582031
01.00570,pt000048,63.25400470130347,-145.45020115753303,1195.8609619140625,8.407451629638672,200.79478454589844
01.00570,pt000049,63.25400470130347,-145.44917803870717,1199.3956298828125,11.56545352935791,225.74850463867188
01.00570,pt000050,63.25400470130347,-145.44815491988132,1207.301025390625,12.856725692749023,218.60919189453125
01.00570,pt000051,63.25400470130347,-145.44713180105546,1212.723388671875,11.375771522521973,222.7410430908203
01.00570,pt000052,63.25400470130347,-145.4461086822296,1218.228515625,7.788671970367432,207.37217712402344
01.00570,pt000053,63.25400470130347,-145.44508556340375,1219.6494140625,10.715303421020508,203.5609588623047
01.00570,pt000054,63.25400470130347,-145.4440624445779,1225.360107421875,9.725132942199707,196.66920471191406
01.00570,pt000055,63.25400470130347,-145.44303932575204,1225.2298583984375,9.367783546447754,167.1926727294922
01.00570,pt000056,63.25400470130347,-145.44201620692618,1223.72705078125,9.885544776916504,159.61289978027344
01.00570,pt000057,63.25400470130347,-145.44099308810033,1220.3768310546875,10.65593433380127,162.77117919921875
01.00570,pt000058,63.25400470130347,-145.43996996927447,1215.7069091796875,10.147148132324219,163.2888641357422
01.00570,pt000059,63.25400470130347,-145.43894685044862,1215.2747802734375,10.858017921447754,176.5893096923828
01.00570,pt000060,63.25400470130347,-145.43792373162276,1214.947998046875,8.559930801391602,183.72048950195312
01.00570,pt000061,63.25400470130347,-145.4369006127969,1219.7049560546875,9.931368827819824,226.5732879638672
01.00570,pt000062,63.25400470130347,-145.43587749397105,1219.511474609375,15.146492004394531,156.26097106933594
01.00570,pt000063,63.25400470130347,-145.4348543751452,1215.6317138671875,10.450418472290039,175.17649841308594
01.00570,pt000064,63.25400470130347,-145.43383125631934,1214.8653564453125,7.258824348449707,184.7530059814453
01.00570,pt000065,63.25400470130347,-145.43280813749348,1218.6483154296875,8.593596458435059,220.1499786376953
01.00570,pt000066,63.25400470130347,-145.43178501866763,1224.3355712890625,10.206985473632812,230.97698974609375
01.00570,pt000067,63.25400470130347,-145.43076189984177,1231.896240234375,8.487593650817871,216.1824188232422
01.00570,pt000068,63.25400470130347,-145.4297387810159,1238.9512939453125,8.785778999328613,243.2849578857422
01.00570,pt000069,63.25400470130347,-145.42871566219006,1241.8306884765625,7.750223636627197,174.41758728027344
01.00570,pt000070,63.25400470130347,-145.4276925433642,1245.4659423828125,9.685016632080078,260.2751770019531
01.00570,pt000071,63.25400470130347,-145.42666942453835,1252.904296875,7.739169120788574,282.6910095214844
01.00570,pt000072,63.25400470130347,-145.4256463057125,1257.1351318359375,14.499632835388184,298.68634033203125
01.00570,pt000073,63.25400470130347,-145.42462318688663,1274.31298828125,24.78369140625,304.5311584472656
01.00570,pt000074,63.25400470130347,-145.42360006806078,1289.5892333984375,25.834983825683594,304.2832336425781
01.00570,pt000075,63.25502782012933,-145.45020115753303,1203.8253173828125,5.585762977600098,295.4965515136719
01.00570,pt000076,63.25502782012933,-145.44917803870717,1208.2589111328125,9.287391662597656,250.4466552734375
01.00570,pt000077,63.25502782012933,-145.44815491988132,1216.802001953125,8.61192798614502,264.5255432128906
01.00570,pt000078,63.25502782012933,-145.44713180105546,1221.880615234375,6.390721797943115,263.65753173828125
01.00570,pt000079,63.25502782012933,-145.4461086822296,1226.4583740234375,6.714838027954102,237.24972534179688
01.00570,pt000080,63.25502782012933,-145.44508556340375,1231.2099609375,4.937314987182617,263.08087158203125
01.00570,pt000081,63.25502782012933,-145.4440624445779,1232.9395751953125,1.776998519897461,237.05511474609375
01.00570,pt000082,63.25502782012933,-145.44303932575204,1232.9879150390625,2.2985999584198,165.38223266601562
01.00570,pt000083,63.25502782012933,-145.44201620692618,1232.5916748046875,2.653022050857544,151.44105529785156
