rgiid,site,lat,lon,elevation,slope,aspect
01.00570,pt000000,63.25697167572678,-145.44385838218605,1229.5458984375,3.0202248096466064,282.23651123046875
01.00570,pt000001,63.25697167572678,-145.4367989324593,1252.5067138671875,9.307526588439941,119.1458969116211
01.00570,pt000002,63.25697167572678,-145.42973948273257,1283.3377685546875,8.113314628601074,230.96580505371094
01.00570,pt000003,63.25697167572678,-145.42268003300583,1309.6876220703125,8.013848304748535,218.3765106201172
01.00570,pt000004,63.26403112545351,-145.42973948273257,1352.3970947265625,15.227298736572266,271.9072570800781
01.00570,pt000005,63.26403112545351,-145.42268003300583,1399.669677734375,8.881468772888184,246.6676025390625
01.00570,pt000006,63.26403112545351,-145.4156205832791,1428.501953125,7.811782360076904,196.07740783691406
01.00570,pt000007,63.271090575180246,-145.4367989324593,1529.672119140625,27.74345588684082,151.4435577392578
01.00570,pt000008,63.271090575180246,-145.42268003300583,1493.744384765625,19.960237503051758,221.0382843017578
01.00570,pt000009,63.271090575180246,-145.4156205832791,1519.654296875,6.0454421043396,155.53993225097656
01.00570,pt000010,63.271090575180246,-145.40856113355235,1509.752685546875,8.156646728515625,155.15689086914062
01.00570,pt000011,63.271090575180246,-145.37326388491866,2293.674072265625,17.511795043945312,256.9939270019531
01.00570,pt000012,63.27815002490698,-145.47915563081975,1921.4449462890625,4.795596599578857,119.28025817871094
01.00570,pt000013,63.27815002490698,-145.472096181093,1893.5430908203125,3.413634777069092,76.58775329589844
01.00570,pt000014,63.27815002490698,-145.46503673136627,1866.4608154296875,5.997336387634277,82.11283111572266
01.00570,pt000015,63.27815002490698,-145.45797728163953,1835.995361328125,4.971127033233643,117.69226837158203
01.00570,pt000016,63.27815002490698,-145.4509178319128,1797.7064208984375,9.256612777709961,98.03829193115234
01.00570,pt000017,63.27815002490698,-145.44385838218605,1734.2449951171875,8.180622100830078,61.85249710083008
01.00570,pt000018,63.27815002490698,-145.4367989324593,1701.676025390625,6.164463043212891,96.77680969238281
01.00570,pt000019,63.27815002490698,-145.42268003300583,1575.525390625,8.264261245727539,243.56240844726562
01.00570,pt000020,63.27815002490698,-145.4156205832791,1590.645751953125,6.5186872482299805,212.5839080810547
01.00570,pt000021,63.27815002490698,-145.40856113355235,1596.8223876953125,5.054436683654785,210.1947784423828
01.00570,pt000022,63.27815002490698,-145.38738278437214,2076.322021484375,43.12366485595703,341.9194641113281
01.00570,pt000023,63.27815002490698,-145.37326388491866,2068.893798828125,17.812034606933594,350.5942687988281
01.00570,pt000024,63.27815002490698,-145.36620443519192,2078.41552734375,18.0465087890625,359.8459167480469
01.00570,pt000025,63.27815002490698,-145.35914498546518,2241.56103515625,40.93425750732422,346.189697265625
01.00570,pt000026,63.27815002490698,-145.35208553573844,2379.054931640625,35.46337890625,195.6924285888672
