,sorted,mapping
0,-37.1611328125,-36.93124037175076
1,-37.00532531738281,-36.82124037175076
2,-36.941162109375,-35.201240371750764
3,-36.42485046386719,-35.051240371750765
4,-36.38783264160156,-34.021240371750764
5,-35.52186584472656,-32.88124037175076
6,-35.469757080078125,-32.86124037175076
7,-34.647186279296875,-32.43124037175076
8,-34.20127868652344,-29.711240371750762
9,-33.960662841796875,-29.551240371750765
10,-33.55427551269531,-29.241240371750763
11,-33.547271728515625,-29.231240371750765
12,-33.43675231933594,-29.08124037175076
13,-33.43290710449219,-28.851240371750762
14,-33.42298889160156,-28.43124037175076
15,-33.26271057128906,-28.381240371750764
16,-33.255523681640625,-28.11124037175076
17,-33.16082763671875,-27.97124037175076
18,-33.0521240234375,-27.811240371750763
19,-33.00825500488281,-27.301240371750765
20,-32.8748779296875,-27.07124037175076
21,-32.8116455078125,-26.621240371750766
22,-32.78642272949219,-26.54124037175076
23,-32.56111145019531,-26.481240371750765
24,-32.284088134765625,-26.15124037175076
25,-32.087890625,-26.131240371750764
26,-32.02679443359375,-25.86124037175076
27,-31.57073974609375,-25.811240371750763
28,-31.47735595703125,-25.701240371750764
29,-31.277511596679688,-25.61124037175076
30,-31.27703857421875,-25.561240371750763
31,-30.926956176757812,-25.491240371750763
32,-30.771820068359375,-25.461240371750762
33,-30.761642456054688,-25.461240371750762
34,-30.723114013671875,-25.301240371750765
35,-30.667190551757812,-25.281240371750762
36,-30.601119995117188,-25.271240371750764
37,-30.52142333984375,-25.021240371750764
38,-30.49371337890625,-24.981240371750765
39,-30.443649291992188,-24.93124037175076
40,-30.429611206054688,-24.921240371750763
41,-30.404922485351562,-24.911240371750765
42,-30.374313354492188,-24.90124037175076
43,-30.3741455078125,-24.82124037175076
44,-30.361557006835938,-24.801240371750765
45,-30.185333251953125,-24.781240371750762
46,-29.907272338867188,-24.731240371750765
47,-29.8201904296875,-24.671240371750763
48,-29.744537353515625,-24.61124037175076
49,-29.49395751953125,-24.47124037175076
50,-29.058670043945312,-24.421240371750763
51,-28.35028076171875,-24.40124037175076
52,-28.132781982421875,-24.39124037175076
53,-27.853378295898438,-24.341240371750764
54,-27.715896606445312,-24.301240371750765
55,-27.709213256835938,-24.25124037175076
56,-27.295196533203125,-24.091240371750764
57,-27.266738891601562,-24.091240371750764
58,-27.234161376953125,-23.97124037175076
59,-27.110626220703125,-23.86124037175076
60,-27.086578369140625,-23.851240371750762
61,-26.9691162109375,-23.83124037175076
62,-26.886123657226562,-23.811240371750763
63,-26.841888427734375,-23.801240371750765
64,-26.67779541015625,-23.801240371750765
65,-26.520660400390625,-23.781240371750762
66,-26.442031860351562,-23.671240371750763
67,-26.36395263671875,-23.661240371750765
68,-26.341903686523438,-23.54124037175076
69,-25.88232421875,-23.531240371750762
70,-25.852584838867188,-23.51124037175076
71,-25.776397705078125,-23.47124037175076
72,-25.744064331054688,-23.461240371750762
73,-25.699905395507812,-23.411240371750765
74,-25.662857055664062,-23.271240371750764
75,-25.375228881835938,-23.25124037175076
76,-25.268020629882812,-23.171240371750763
77,-25.256027221679688,-23.151240371750767
78,-25.221786499023438,-23.07124037175076
79,-25.21051025390625,-23.07124037175076
80,-25.196121215820312,-23.051240371750765
81,-25.18243408203125,-22.941240371750766
82,-25.172958374023438,-22.881240371750764
83,-25.15216064453125,-22.701240371750764
84,-25.146942138671875,-22.671240371750763
85,-25.118820190429688,-22.671240371750763
86,-25.113021850585938,-22.551240371750765
87,-25.10455322265625,-22.551240371750765
88,-25.098953247070312,-22.551240371750765
89,-25.034378051757812,-22.541240371750767
90,-24.992340087890625,-22.50124037175076
91,-24.940338134765625,-22.43124037175076
92,-24.888656616210938,-22.381240371750764
93,-24.884674072265625,-22.371240371750766
94,-24.871612548828125,-22.371240371750766
95,-24.852737426757812,-22.361240371750768
96,-24.747879028320312,-22.341240371750764
97,-24.728790283203125,-22.341240371750764
98,-24.716262817382812,-22.32124037175076
99,-24.710708618164062,-22.101240371750762
100,-24.7100830078125,-22.091240371750764
101,-24.668548583984375,-22.00124037175076
102,-24.659271240234375,-21.991240371750763
103,-24.623611450195312,-21.921240371750763
104,-24.58233642578125,-21.901240371750767
105,-24.570068359375,-21.861240371750768
106,-24.547378540039062,-21.861240371750768
107,-24.5325927734375,-21.851240371750762
108,-24.383590698242188,-21.82124037175076
109,-24.334426879882812,-21.811240371750763
110,-24.308197021484375,-21.771240371750764
111,-24.211517333984375,-21.741240371750763
112,-24.200851440429688,-21.701240371750764
113,-24.137954711914062,-21.671240371750763
114,-24.082595825195312,-21.651240371750767
115,-24.066726684570312,-21.64124037175076
116,-24.033935546875,-21.611240371750768
117,-23.947067260742188,-21.591240371750764
118,-23.911529541015625,-21.57124037175076
119,-23.8209228515625,-21.50124037175076
120,-23.809616088867188,-21.451240371750764
121,-23.686569213867188,-21.441240371750766
122,-23.665634155273438,-21.411240371750765
123,-23.625015258789062,-21.401240371750767
124,-23.612152099609375,-21.39124037175076
125,-23.41064453125,-21.32124037175076
126,-23.392349243164062,-21.301240371750765
127,-23.3878173828125,-21.291240371750767
128,-23.348556518554688,-21.25124037175076
129,-23.297836303710938,-21.211240371750762
130,-23.267929077148438,-21.14124037175076
131,-23.267074584960938,-21.14124037175076
132,-23.262298583984375,-21.111240371750768
133,-23.25823974609375,-21.051240371750765
134,-23.1915283203125,-21.011240371750766
135,-23.17022705078125,-20.991240371750763
136,-23.168243408203125,-20.991240371750763
137,-23.128768920898438,-20.981240371750765
138,-23.125030517578125,-20.971240371750767
139,-23.099166870117188,-20.971240371750767
140,-23.071060180664062,-20.951240371750764
141,-23.067367553710938,-20.921240371750763
142,-23.056488037109375,-20.901240371750767
143,-23.054763793945312,-20.89124037175076
144,-23.047225952148438,-20.881240371750764
145,-23.011947631835938,-20.881240371750764
146,-22.979415893554688,-20.811240371750763
147,-22.972122192382812,-20.791240371750767
148,-22.958160400390625,-20.791240371750767
149,-22.941818237304688,-20.781240371750762
150,-22.926544189453125,-20.75124037175076
151,-22.918426513671875,-20.75124037175076
152,-22.903060913085938,-20.731240371750765
153,-22.867477416992188,-20.711240371750762
154,-22.865447998046875,-20.691240371750766
155,-22.836151123046875,-20.691240371750766
156,-22.815536499023438,-20.68124037175076
157,-22.800628662109375,-20.661240371750765
158,-22.782089233398438,-20.661240371750765
159,-22.760543823242188,-20.651240371750767
160,-22.752655029296875,-20.64124037175076
161,-22.749435424804688,-20.631240371750764
162,-22.735260009765625,-20.611240371750768
163,-22.728500366210938,-20.591240371750764
164,-22.69573974609375,-20.581240371750766
165,-22.676498413085938,-20.561240371750763
166,-22.668212890625,-20.551240371750765
167,-22.667572021484375,-20.521240371750764
168,-22.659194946289062,-20.511240371750766
169,-22.6263427734375,-20.511240371750766
170,-22.59100341796875,-20.481240371750765
171,-22.543960571289062,-20.441240371750766
172,-22.539276123046875,-20.421240371750763
173,-22.53765869140625,-20.381240371750764
174,-22.5250244140625,-20.361240371750768
175,-22.479278564453125,-20.32124037175076
176,-22.478317260742188,-20.32124037175076
177,-22.468902587890625,-20.301240371750765
178,-22.46563720703125,-20.271240371750764
179,-22.448150634765625,-20.241240371750763
180,-22.434188842773438,-20.221240371750767
181,-22.427993774414062,-20.18124037175076
182,-22.427810668945312,-20.171240371750763
183,-22.423065185546875,-20.151240371750767
184,-22.411407470703125,-20.091240371750764
185,-22.401473999023438,-20.081240371750766
186,-22.373016357421875,-20.051240371750765
187,-22.372268676757812,-20.031240371750762
188,-22.352996826171875,-20.00124037175076
189,-22.347610473632812,-19.961240371750762
190,-22.34246826171875,-19.921240371750763
191,-22.328811645507812,-19.911240371750765
192,-22.294219970703125,-19.901240371750767
193,-22.2713623046875,-19.89124037175076
194,-22.26898193359375,-19.89124037175076
195,-22.255401611328125,-19.851240371750762
196,-22.255157470703125,-19.831240371750766
197,-22.253936767578125,-19.781240371750762
198,-22.182785034179688,-19.781240371750762
199,-22.1776123046875,-19.761240371750766
200,-22.113739013671875,-19.731240371750765
201,-22.108184814453125,-19.721240371750767
202,-22.08099365234375,-19.701240371750764
203,-22.063232421875,-19.68124037175076
204,-22.050735473632812,-19.68124037175076
205,-22.029449462890625,-19.651240371750767
206,-22.0225830078125,-19.601240371750762
207,-22.01702880859375,-19.601240371750762
208,-22.001480102539062,-19.581240371750766
209,-22.00030517578125,-19.581240371750766
210,-21.989944458007812,-19.57124037175076
211,-21.985931396484375,-19.551240371750765
212,-21.985321044921875,-19.491240371750763
213,-21.983901977539062,-19.481240371750765
214,-21.964645385742188,-19.471240371750767
215,-21.912948608398438,-19.441240371750766
216,-21.89129638671875,-19.43124037175076
217,-21.884918212890625,-19.421240371750763
218,-21.864212036132812,-19.411240371750765
219,-21.837738037109375,-19.361240371750768
220,-21.834365844726562,-19.351240371750762
221,-21.82525634765625,-19.351240371750762
222,-21.813339233398438,-19.331240371750766
223,-21.80560302734375,-19.331240371750766
224,-21.795364379882812,-19.271240371750764
225,-21.791717529296875,-19.271240371750764
226,-21.691329956054688,-19.261240371750766
227,-21.6644287109375,-19.151240371750767
228,-21.662872314453125,-19.14124037175076
229,-21.650955200195312,-19.121240371750766
230,-21.649520874023438,-19.101240371750762
231,-21.645797729492188,-19.091240371750764
232,-21.641571044921875,-19.041240371750767
233,-21.636428833007812,-19.021240371750764
234,-21.624847412109375,-19.011240371750766
235,-21.619522094726562,-18.991240371750763
236,-21.616912841796875,-18.991240371750763
237,-21.60284423828125,-18.991240371750763
238,-21.599868774414062,-18.981240371750765
239,-21.589920043945312,-18.961240371750762
240,-21.589645385742188,-18.93124037175076
241,-21.585189819335938,-18.93124037175076
242,-21.584228515625,-18.921240371750763
243,-21.574951171875,-18.901240371750767
244,-21.572097778320312,-18.841240371750764
245,-21.564971923828125,-18.831240371750766
246,-21.520431518554688,-18.791240371750767
247,-21.517669677734375,-18.75124037175076
248,-21.507095336914062,-18.75124037175076
249,-21.498336791992188,-18.671240371750763
250,-21.49664306640625,-18.64124037175076
251,-21.494888305664062,-18.64124037175076
252,-21.4913330078125,-18.621240371750766
